sensor_id,moy_co2,moy_pm25,window_start,window_end
sensor_01,618.4230769230769,30.292307692307695,1766415570000,1766415600000
sensor_01,658.8076923076923,27.570769230769237,1766415660000,1766415690000
sensor_01,627.9166666666666,23.72083333333333,1766415690000,1766415720000
sensor_01,630.4081632653061,25.549183673469386,1766415780000,1766415810000
sensor_01,608.0980392156863,23.69529411764706,1766415810000,1766415840000
sensor_01,637.64,25.699000000000005,1766415900000,1766415930000
sensor_01,610.1,25.207200000000004,1766415930000,1766415960000
sensor_01,657.5,26.74153846153846,1766415960000,1766415990000
sensor_01,638.04,23.621599999999997,1766416050000,1766416080000
sensor_01,642.6,24.83177777777777,1766416080000,1766416110000
sensor_01,646.9772727272727,24.247272727272726,1766416170000,1766416200000
sensor_01,617.6730769230769,27.986346153846156,1766416200000,1766416230000
sensor_01,650.2553191489362,23.046382978723404,1766416290000,1766416320000
sensor_01,651.1923076923077,23.953846153846158,1766416320000,1766416350000
sensor_01,652.0384615384615,25.091923076923077,1766417400000,1766417430000
sensor_01,599.8260869565217,29.82260869565218,1766417430000,1766417460000
sensor_01,632.56,26.854400000000002,1766417460000,1766417490000
sensor_01,632.36,25.609600000000004,1766417550000,1766417580000
sensor_01,614.8846153846154,24.304230769230774,1766417580000,1766417610000
sensor_01,649.2692307692307,20.58230769230769,1766417670000,1766417700000
sensor_01,613.9615384615385,25.794230769230772,1766417700000,1766417730000
sensor_01,654.6923076923077,23.386153846153846,1766417790000,1766417820000
sensor_01,601.4230769230769,27.355,1766417820000,1766417850000
sensor_01,561.1153846153846,22.37576923076923,1766417910000,1766417940000
sensor_01,620.96,24.484,1766417940000,1766417970000
sensor_01,655.8846153846154,28.383076923076924,1766418030000,1766418060000
sensor_01,626.0384615384615,24.363846153846147,1766418060000,1766418090000
sensor_01,590.6538461538462,24.01230769230769,1766418150000,1766418180000
sensor_01,651.76,24.6608,1766418180000,1766418210000
sensor_01,597.9615384615385,25.965769230769233,1766418300000,1766418330000
sensor_01,605.2916666666666,23.61375,1766411910000,1766411940000
sensor_01,627.16,26.529999999999994,1766411940000,1766411970000
sensor_01,659.4,23.962400000000002,1766411970000,1766412000000
sensor_01,604.04,23.194799999999997,1766412000000,1766412030000
sensor_01,561.24,27.4008,1766412030000,1766412060000
sensor_01,659.5,27.442083333333333,1766412060000,1766412090000
sensor_01,606.16,25.743599999999997,1766412090000,1766412120000
sensor_01,608.8461538461538,21.321538461538463,1766412120000,1766412150000
sensor_01,664.28,24.251600000000003,1766412150000,1766412180000
sensor_01,590.0,31.096666666666664,1766412180000,1766412210000
sensor_01,628.8846153846154,26.91,1766412210000,1766412240000
sensor_01,649.64,26.405600000000007,1766412240000,1766412270000
sensor_01,576.28,26.583199999999998,1766412270000,1766412300000
sensor_01,635.5,25.983846153846155,1766412300000,1766412330000
sensor_01,585.08,26.417999999999996,1766412330000,1766412360000
sensor_01,642.6153846153846,24.36923076923077,1766412360000,1766412390000
sensor_01,640.7692307692307,24.111538461538462,1766412390000,1766412420000
sensor_01,645.7826086956521,28.190869565217387,1766412420000,1766412450000
sensor_01,661.7826086956521,28.391304347826097,1766412450000,1766412480000
sensor_01,624.28,25.9844,1766412480000,1766412510000
sensor_01,621.0,26.491304347826084,1766412510000,1766412540000
